a^b,Boolean,Byte,SByte,Int16,UInt16,Int32,UInt32,Int64,UInt64,Char,Double,Single,Decimal,String
Boolean,System.Boolean,,,,,,,,,,,,,
Byte,,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.UInt32,System.Int64,System.UInt64,System.Int32,,,,
SByte,,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.Int64,System.Int64,,System.Int32,,,,
Int16,,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.Int64,System.Int64,,System.Int32,,,,
UInt16,,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.UInt32,System.Int64,System.UInt64,System.Int32,,,,
Int32,,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.Int64,System.Int64,,System.Int32,,,,
UInt32,,System.UInt32,System.Int64,System.Int64,System.UInt32,System.Int64,System.UInt32,System.Int64,System.UInt64,System.UInt32,,,,
Int64,,System.Int64,System.Int64,System.Int64,System.Int64,System.Int64,System.Int64,System.Int64,,System.Int64,,,,
UInt64,,System.UInt64,,,System.UInt64,,System.UInt64,,System.UInt64,System.UInt64,,,,
Char,,System.Int32,System.Int32,System.Int32,System.Int32,System.Int32,System.UInt32,System.Int64,System.UInt64,System.Int32,,,,
Double,,,,,,,,,,,,,,
Single,,,,,,,,,,,,,,
Decimal,,,,,,,,,,,,,,
String,,,,,,,,,,,,,,